loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_roc_auc,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7616,2.3601815700531006,5.026656511805027e-07,0.04570383912248629,100,,,,,,,,,,,,,,
0.7613,2.180464029312134,1.0104087331810104e-06,0.09140767824497258,200,,,,,,,,,,,,,,
0.7627,2.0089383125305176,1.5181518151815183e-06,0.13711151736745886,300,,,,,,,,,,,,,,
0.758,1.7303084135055542,2.025894897182026e-06,0.18281535648994515,400,,,,,,,,,,,,,,
0.741,2.4469146728515625,2.533637979182534e-06,0.22851919561243145,500,,,,,,,,,,,,,,
0.7379,1.4006836414337158,3.0413810611830417e-06,0.2742230347349177,600,,,,,,,,,,,,,,
0.7302,2.101956844329834,3.5491241431835496e-06,0.31992687385740404,700,,,,,,,,,,,,,,
0.7197,1.4638515710830688,4.056867225184058e-06,0.3656307129798903,800,,,,,,,,,,,,,,
0.7191,1.3506101369857788,4.564610307184565e-06,0.4113345521023766,900,,,,,,,,,,,,,,
0.7114,2.1383001804351807,5.072353389185073e-06,0.4570383912248629,1000,,,,,,,,,,,,,,
0.7069,1.093566656112671,5.580096471185581e-06,0.5027422303473492,1100,,,,,,,,,,,,,,
0.6992,1.3175314664840698,6.087839553186088e-06,0.5484460694698354,1200,,,,,,,,,,,,,,
0.6962,1.2941083908081055,6.595582635186596e-06,0.5941499085923218,1300,,,,,,,,,,,,,,
0.6968,1.1518248319625854,7.103325717187104e-06,0.6398537477148081,1400,,,,,,,,,,,,,,
0.69,1.3888962268829346,7.611068799187612e-06,0.6855575868372943,1500,,,,,,,,,,,,,,
0.6844,1.1015112400054932,8.11881188118812e-06,0.7312614259597806,1600,,,,,,,,,,,,,,
0.6804,0.9812160730361938,8.626554963188627e-06,0.7769652650822669,1700,,,,,,,,,,,,,,
0.6727,1.0862913131713867,9.134298045189134e-06,0.8226691042047533,1800,,,,,,,,,,,,,,
0.6707,1.0725741386413574,9.642041127189643e-06,0.8683729433272395,1900,,,,,,,,,,,,,,
0.6639,0.8787115812301636,1.014978420919015e-05,0.9140767824497258,2000,,,,,,,,,,,,,,
0.6612,1.3725603818893433,1.0657527291190659e-05,0.9597806215722121,2100,,,,,,,,,,,,,,
,,,1.0,2188,0.6532429456710815,0.6285471555555556,0.6164666666666667,0.6162356848950721,0.6167477412642305,0.6164666666666667,48.621,617.017,4.833,,,,,
0.658,0.9286664128303528,1.1165270373191166e-05,1.0054844606946984,2200,,,,,,,,,,,,,,
0.645,1.7588452100753784,1.1673013455191673e-05,1.0511882998171846,2300,,,,,,,,,,,,,,
0.6467,0.8471697568893433,1.2180756537192181e-05,1.0968921389396709,2400,,,,,,,,,,,,,,
0.6451,0.9791184663772583,1.2688499619192688e-05,1.1425959780621573,2500,,,,,,,,,,,,,,
0.6312,1.3314026594161987,1.3196242701193199e-05,1.1882998171846435,2600,,,,,,,,,,,,,,
0.636,0.798202633857727,1.3703985783193706e-05,1.2340036563071297,2700,,,,,,,,,,,,,,
0.6269,0.9478300213813782,1.4211728865194213e-05,1.2797074954296161,2800,,,,,,,,,,,,,,
0.6163,1.1448235511779785,1.4719471947194721e-05,1.3254113345521024,2900,,,,,,,,,,,,,,
0.6105,1.4003894329071045,1.5227215029195228e-05,1.3711151736745886,3000,,,,,,,,,,,,,,
0.6154,0.9039885997772217,1.5734958111195737e-05,1.416819012797075,3100,,,,,,,,,,,,,,
0.6079,1.1521852016448975,1.6242701193196244e-05,1.4625228519195612,3200,,,,,,,,,,,,,,
0.603,1.1801460981369019,1.675044427519675e-05,1.5082266910420477,3300,,,,,,,,,,,,,,
0.5958,1.2328792810440063,1.725818735719726e-05,1.5539305301645339,3400,,,,,,,,,,,,,,
0.5944,1.3368552923202515,1.7765930439197768e-05,1.59963436928702,3500,,,,,,,,,,,,,,
0.5955,1.7843122482299805,1.8273673521198275e-05,1.6453382084095063,3600,,,,,,,,,,,,,,
0.5851,0.8145878314971924,1.8781416603198782e-05,1.6910420475319927,3700,,,,,,,,,,,,,,
0.5912,0.7791167497634888,1.928915968519929e-05,1.736745886654479,3800,,,,,,,,,,,,,,
0.5814,1.0667195320129395,1.97969027671998e-05,1.7824497257769654,3900,,,,,,,,,,,,,,
0.584,1.9285061359405518,1.998055136869743e-05,1.8281535648994516,4000,,,,,,,,,,,,,,
0.5704,2.164001226425171,1.9948136983193143e-05,1.8738574040219378,4100,,,,,,,,,,,,,,
0.571,1.0326534509658813,1.9915722597688857e-05,1.919561243144424,4200,,,,,,,,,,,,,,
0.5701,0.8215468525886536,1.9883308212184567e-05,1.9652650822669104,4300,,,,,,,,,,,,,,
,,,2.0,4376,0.5675836205482483,0.7517705911111111,0.7092666666666667,0.7092297569381685,0.7093729760278814,0.7092666666666667,48.6668,616.436,4.829,,,,,
0.5682,0.8387689590454102,1.985089382668028e-05,2.010968921389397,4400,,,,,,,,,,,,,,
0.5647,0.8263800144195557,1.9818479441175995e-05,2.056672760511883,4500,,,,,,,,,,,,,,
0.5678,0.9458545446395874,1.978606505567171e-05,2.1023765996343693,4600,,,,,,,,,,,,,,
0.5617,0.6576220989227295,1.975365067016742e-05,2.1480804387568555,4700,,,,,,,,,,,,,,
0.5621,1.2192482948303223,1.9721236284663134e-05,2.1937842778793417,4800,,,,,,,,,,,,,,
0.5568,0.9761418104171753,1.9688821899158848e-05,2.2394881170018284,4900,,,,,,,,,,,,,,
